tp,name,mean_valence_shift,mean_abs_valence_shift,mean_intensity_shift,n_films,mean_shift_anger,mean_shift_disgust,mean_shift_fear,mean_shift_joy,mean_shift_neutral,mean_shift_sadness,mean_shift_surprise
TP1,Opportunity,0.011168349534273148,0.14910078048706055,0.06207073852419853,8,-0.1066942794714123,-0.02353300736285746,0.0679710489930585,0.014931853453163058,-0.06207074411213398,0.06601973553188145,0.04337539849802852
TP2,Change of Plans,-0.15387022122740746,0.22440173104405403,0.07774785533547401,8,0.008733246941119432,-0.07016859715804458,0.14194098068401217,-0.017700677330140024,-0.07774786138907075,0.05566390976309776,-0.04072100017219782
TP3,Point of No Return,-0.11336348834447563,0.2384640455711633,0.006605740636587143,8,0.06722136680036783,0.006284804083406925,0.0522729754447937,-0.017396676528733224,-0.006605756469070911,-0.02981234318576753,-0.07196436729282141
TP4,Major Setback,-0.07959959123815809,0.2655376259769712,0.0837034625666482,7,-0.037316412797995975,0.11935089847871236,0.005248374172619411,-0.014113225575004305,-0.08370347853217806,-0.02179649831461055,0.03233032354286739
TP5,Climax,0.06076912581920624,0.2751554399728775,-0.04171134318624224,7,-0.0834372267127037,0.0024819704038756235,0.04677877947688103,0.025516867005665387,0.04171132083450045,-0.0010757850749152048,-0.0319758877158165
