movie,n_scenes,tp_mag_mean,non_tp_mag_mean,ratio_strict,p_value_strict,win_mag_mean,winnon_mag_mean,ratio_windowed,p_value_windowed
Die Hard,118,0.33420504033565523,0.3404673416563104,0.9816067488582305,0.4845091464194936,0.3974967086244197,0.32779797863637666,1.2126270890320505,0.16403851344191694
The Breakfast Club,42,0.10609592497348785,0.3321288992699824,0.3194420154545002,0.966282497989815,0.2788042277097702,0.3344502405573924,0.8336194563505681,0.7076227788936336
Moon (film),145,0.3301438853144646,0.36323632364427405,0.9088955697001887,0.7417965629656906,0.4123139313111703,0.35213446599423637,1.1708991056783373,0.47560769000287373
Slumdog Millionaire,196,0.3220077484846115,0.4089647925980584,0.7873727868821446,0.6930746141333518,0.3381011103093624,0.4167823764381179,0.8112173868742318,0.8405053222531029
Panic Room,167,0.16471641063690184,0.33628286978942745,0.4898150498716852,0.8625364907874102,0.28702004581689833,0.3389148296735866,0.8468795717594629,0.8145743273925246
Unforgiven,106,0.5362182140350342,0.3604724147532246,1.4875429910555658,0.3112194530467646,0.4207830331895662,0.35434693008302204,1.1874888632193836,0.23092248813748817
The Crying Game,104,0.37810908257961273,0.4143963033333421,0.9124335317138682,0.5743629034959026,0.3267658052759038,0.43104979265914406,0.7580697423842548,0.8309796625715923
Juno (film),116,0.35507661402225493,0.42182595595750993,0.8417609419417078,0.7544880248012263,0.4535202977061272,0.40945117295320543,1.1076297435786275,0.3812696792356325
